age,education,education.num,capital.gain,hours.per.week,income
90,HS-grad,9,0,40,<=50K
82,HS-grad,9,0,18,<=50K
66,Some-college,10,0,40,<=50K
54,7th-8th,4,0,40,<=50K
41,Some-college,10,0,40,<=50K
34,HS-grad,9,0,45,<=50K
38,10th,6,0,40,<=50K
74,Doctorate,16,0,20,>50K
68,HS-grad,9,0,40,<=50K
41,Some-college,10,0,60,>50K
45,Doctorate,16,0,35,>50K
38,Prof-school,15,0,45,>50K
52,Bachelors,13,0,20,>50K
32,Masters,14,0,55,>50K
51,Doctorate,16,0,40,>50K
46,Prof-school,15,0,40,>50K
45,11th,7,0,76,>50K
57,Masters,14,0,50,>50K
22,Assoc-acdm,12,0,40,>50K
34,Bachelors,13,0,50,>50K
37,Bachelors,13,0,40,>50K
29,11th,7,0,42,<=50K
61,HS-grad,9,0,25,<=50K
51,Some-college,10,0,40,<=50K
61,HS-grad,9,0,32,<=50K
21,Assoc-voc,11,0,40,<=50K
33,1st-4th,2,0,32,<=50K
49,5th-6th,3,0,40,<=50K
37,10th,6,0,50,>50K
38,10th,6,0,90,>50K
23,Some-college,10,0,40,>50K
59,10th,6,0,50,>50K
52,Prof-school,15,0,60,>50K
51,Bachelors,13,0,50,>50K
60,HS-grad,9,0,50,>50K
63,Doctorate,16,0,60,>50K
53,HS-grad,9,0,48,>50K
51,Prof-school,15,0,50,>50K
37,Doctorate,16,0,60,>50K
54,Masters,14,0,40,>50K
44,Bachelors,13,0,50,>50K
43,Masters,14,0,40,>50K
51,Some-college,10,0,40,>50K
43,Masters,14,0,40,>50K
71,HS-grad,9,0,15,<=50K
48,Bachelors,13,0,70,>50K
71,HS-grad,9,0,52,<=50K
73,HS-grad,9,0,40,<=50K
68,Some-college,10,0,40,<=50K
67,Some-college,10,0,40,<=50K
40,Prof-school,15,0,45,>50K
50,HS-grad,9,0,72,>50K
51,Assoc-voc,11,0,39,>50K
42,Some-college,10,0,40,>50K
39,Masters,14,0,45,>50K
32,Bachelors,13,0,50,>50K
53,Some-college,10,0,45,>50K
40,Some-college,10,0,40,>50K
38,Bachelors,13,0,45,>50K
33,Assoc-voc,11,0,42,>50K
43,Assoc-acdm,12,0,70,>50K
50,11th,7,0,40,>50K
44,Some-college,10,0,6,>50K
51,Bachelors,13,0,40,>50K
41,Prof-school,15,0,40,>50K
60,Assoc-voc,11,0,70,>50K
37,Masters,14,0,60,>50K
55,Prof-school,15,0,35,>50K
39,Bachelors,13,0,60,>50K
42,Prof-school,15,0,60,>50K
49,Bachelors,13,0,55,>50K
47,HS-grad,9,0,50,>50K
41,Prof-school,15,0,45,>50K
55,Bachelors,13,0,50,>50K
39,Masters,14,0,65,>50K
42,Bachelors,13,0,60,>50K
41,Assoc-voc,11,0,12,>50K
46,Masters,14,0,65,>50K
40,Masters,14,0,45,>50K
32,Bachelors,13,0,48,>50K
41,Some-college,10,0,55,>50K
60,Prof-school,15,0,80,>50K
31,Masters,14,0,70,>50K
58,Some-college,10,0,40,>50K
37,Bachelors,13,0,50,>50K
44,Bachelors,13,0,50,>50K
39,Prof-school,15,0,50,>50K
43,Prof-school,15,0,55,>50K
55,Bachelors,13,0,50,>50K
44,Masters,14,0,55,>50K
39,Prof-school,15,0,67,>50K
46,Bachelors,13,0,40,>50K
39,Some-college,10,0,99,>50K
62,Bachelors,13,0,60,>50K
31,HS-grad,9,0,40,>50K
46,Bachelors,13,0,35,>50K
46,Prof-school,15,0,80,>50K
39,Assoc-voc,11,0,40,>50K
39,Prof-school,15,0,99,>50K
59,Doctorate,16,0,45,>50K
50,Prof-school,15,0,60,>50K
46,Doctorate,16,0,55,>50K
53,Bachelors,13,0,40,>50K
50,Prof-school,15,0,30,>50K
41,Prof-school,15,0,55,>50K
36,Bachelors,13,0,45,>50K
38,Prof-school,15,0,90,>50K
54,Some-college,10,0,50,>50K
50,Bachelors,13,0,20,>50K
47,Bachelors,13,0,60,>50K
47,Prof-school,15,0,45,>50K
67,Bachelors,13,0,40,>50K
67,Bachelors,13,0,75,>50K
72,Doctorate,16,0,25,>50K
72,Doctorate,16,0,6,>50K
46,Masters,14,0,50,>50K
78,Bachelors,13,0,40,>50K
71,Bachelors,13,0,60,>50K
83,Bachelors,13,0,55,>50K
68,Masters,14,0,40,>50K
26,Assoc-voc,11,0,45,<=50K
68,Doctorate,16,0,60,>50K
49,HS-grad,9,0,40,>50K
36,HS-grad,9,0,60,<=50K
70,Bachelors,13,0,12,>50K
27,Some-college,10,0,20,<=50K
35,Some-college,10,0,40,<=50K
23,HS-grad,9,0,40,<=50K
81,HS-grad,9,0,26,>50K
66,Doctorate,16,0,25,>50K
71,HS-grad,9,0,45,>50K
68,Some-college,10,0,55,>50K
68,Masters,14,0,42,>50K
65,Bachelors,13,0,40,>50K
52,HS-grad,9,0,40,<=50K
40,Assoc-acdm,12,0,50,<=50K
68,Bachelors,13,0,35,>50K
21,Some-college,10,0,48,<=50K
35,HS-grad,9,0,40,<=50K
70,Bachelors,13,0,50,>50K
61,HS-grad,9,0,50,<=50K
65,HS-grad,9,0,65,<=50K
46,5th-6th,3,0,45,<=50K
26,Bachelors,13,0,55,<=50K
59,HS-grad,9,0,40,<=50K
61,5th-6th,3,0,40,<=50K
60,Bachelors,13,0,40,<=50K
49,Some-college,10,0,50,<=50K
34,Bachelors,13,0,40,<=50K
25,Bachelors,13,0,35,<=50K
55,Some-college,10,0,45,<=50K
59,HS-grad,9,0,40,<=50K
28,Some-college,10,0,40,<=50K
43,Assoc-voc,11,0,36,<=50K
56,Masters,14,0,60,<=50K
41,HS-grad,9,0,40,<=50K
42,HS-grad,9,0,40,<=50K
28,Prof-school,15,0,40,<=50K
40,Prof-school,15,0,35,<=50K
69,Bachelors,13,0,40,>50K
66,HS-grad,9,0,40,<=50K
69,5th-6th,3,0,40,<=50K
55,Masters,14,0,40,<=50K
57,HS-grad,9,0,40,<=50K
20,Some-college,10,0,10,<=50K
33,HS-grad,9,0,84,<=50K
30,Some-college,10,0,40,<=50K
40,Bachelors,13,0,48,<=50K
38,Some-college,10,0,55,>50K
46,Assoc-acdm,12,0,38,>50K
29,Bachelors,13,0,45,>50K
57,Bachelors,13,0,40,<=50K
39,HS-grad,9,0,42,>50K
47,Bachelors,13,0,40,>50K
26,Bachelors,13,0,45,>50K
27,HS-grad,9,0,50,<=50K
23,Bachelors,13,0,40,>50K
34,Masters,14,0,50,<=50K
33,12th,8,0,42,<=50K
38,Masters,14,0,60,<=50K
57,Some-college,10,0,38,>50K
36,HS-grad,9,0,70,<=50K
44,Bachelors,13,0,40,>50K
49,Doctorate,16,0,50,>50K
44,Some-college,10,0,60,<=50K
55,Some-college,10,0,62,>50K
45,HS-grad,9,0,44,>50K
48,HS-grad,9,0,40,>50K
31,Bachelors,13,0,45,>50K
55,HS-grad,9,0,40,>50K
70,Some-college,10,0,40,>50K
70,Masters,14,0,8,>50K
73,Bachelors,13,0,40,>50K
72,Prof-school,15,0,28,>50K
31,HS-grad,9,0,40,<=50K
28,10th,6,0,35,<=50K
23,Bachelors,13,0,40,>50K
49,9th,5,0,40,>50K
27,Some-college,10,0,40,>50K
90,HS-grad,9,0,40,<=50K
68,HS-grad,9,0,30,<=50K
65,HS-grad,9,0,59,<=50K
65,HS-grad,9,0,10,<=50K
67,Bachelors,13,0,5,<=50K
66,Bachelors,13,0,25,<=50K
24,Some-college,10,0,24,<=50K
44,Some-college,10,0,35,<=50K
35,Some-college,10,0,40,<=50K
20,Assoc-acdm,12,0,18,<=50K
38,HS-grad,9,0,40,<=50K
39,Some-college,10,0,40,<=50K
32,Some-college,10,0,40,<=50K
42,7th-8th,4,0,40,<=50K
63,HS-grad,9,0,40,<=50K
42,Masters,14,0,60,>50K
64,11th,7,0,40,<=50K
28,7th-8th,4,0,40,<=50K
41,Assoc-voc,11,0,84,<=50K
41,7th-8th,4,0,40,<=50K
58,1st-4th,2,0,18,<=50K
59,Some-college,10,0,40,<=50K
34,HS-grad,9,0,12,<=50K
45,HS-grad,9,0,45,<=50K
29,HS-grad,9,0,40,<=50K
47,10th,6,0,52,<=50K
40,Some-college,10,0,40,<=50K
47,5th-6th,3,0,50,<=50K
63,Bachelors,13,0,45,<=50K
41,HS-grad,9,0,40,<=50K
34,Some-college,10,0,40,<=50K
66,Bachelors,13,0,40,>50K
65,Some-college,10,0,10,>50K
70,HS-grad,9,0,40,>50K
75,Prof-school,15,0,50,>50K
65,HS-grad,9,0,40,>50K
65,Some-college,10,0,40,>50K
73,Some-college,10,0,50,>50K
60,Bachelors,13,0,25,<=50K
68,Assoc-voc,11,0,40,<=50K
74,HS-grad,9,0,20,<=50K
43,5th-6th,3,0,72,<=50K
19,11th,7,0,55,<=50K
37,HS-grad,9,0,40,<=50K
45,Assoc-acdm,12,0,40,<=50K
64,Masters,14,0,60,<=50K
30,HS-grad,9,0,40,<=50K
51,Some-college,10,0,60,<=50K
35,11th,7,0,40,<=50K
29,HS-grad,9,0,20,<=50K
34,Some-college,10,0,40,<=50K
41,HS-grad,9,0,60,<=50K
35,Some-college,10,0,45,<=50K
26,Some-college,10,0,40,<=50K
54,HS-grad,9,0,50,<=50K
52,HS-grad,9,0,40,<=50K
50,HS-grad,9,0,20,<=50K
31,Some-college,10,0,40,<=50K
38,HS-grad,9,0,40,<=50K
30,Some-college,10,0,40,<=50K
34,Bachelors,13,0,40,<=50K
31,Some-college,10,0,57,<=50K
52,HS-grad,9,0,38,<=50K
54,HS-grad,9,0,40,<=50K
38,HS-grad,9,0,44,<=50K
39,HS-grad,9,0,40,<=50K
29,Assoc-voc,11,0,40,<=50K
45,HS-grad,9,0,40,<=50K
34,HS-grad,9,0,55,<=50K
38,HS-grad,9,0,40,<=50K
39,10th,6,0,40,<=50K
61,HS-grad,9,0,20,<=50K
43,11th,7,0,40,<=50K
35,Some-college,10,0,40,<=50K
46,Some-college,10,0,50,<=50K
38,HS-grad,9,0,40,<=50K
42,HS-grad,9,0,48,<=50K
34,Assoc-acdm,12,0,10,<=50K
29,7th-8th,4,0,40,<=50K
32,11th,7,0,30,<=50K
60,HS-grad,9,0,34,<=50K
49,HS-grad,9,0,40,<=50K
53,HS-grad,9,0,45,<=50K
56,7th-8th,4,0,40,<=50K
48,11th,7,0,40,<=50K
32,Bachelors,13,0,40,<=50K
42,HS-grad,9,0,40,<=50K
32,Assoc-acdm,12,0,42,<=50K
28,Assoc-acdm,12,0,40,<=50K
26,Assoc-voc,11,0,40,<=50K
59,Bachelors,13,0,50,<=50K
47,Bachelors,13,0,30,<=50K
26,Bachelors,13,0,40,<=50K
41,HS-grad,9,0,60,<=50K
36,HS-grad,9,0,40,<=50K
45,Bachelors,13,0,55,<=50K
30,Assoc-acdm,12,0,40,<=50K
36,HS-grad,9,0,40,<=50K
34,HS-grad,9,0,40,<=50K
53,HS-grad,9,0,40,<=50K
51,HS-grad,9,0,45,<=50K
47,Doctorate,16,0,45,<=50K
19,HS-grad,9,0,40,<=50K
30,HS-grad,9,0,42,<=50K
20,HS-grad,9,0,40,<=50K
42,Masters,14,0,60,<=50K
31,11th,7,0,40,<=50K
33,Bachelors,13,0,40,<=50K
25,Assoc-acdm,12,0,30,<=50K
20,HS-grad,9,0,40,<=50K
23,HS-grad,9,0,40,<=50K
55,HS-grad,9,0,40,<=50K
41,Some-college,10,0,50,<=50K
54,HS-grad,9,0,35,<=50K
25,HS-grad,9,0,50,<=50K
19,Some-college,10,0,40,<=50K
24,HS-grad,9,0,37,<=50K
56,Bachelors,13,0,65,<=50K
21,Some-college,10,0,40,<=50K
34,HS-grad,9,0,40,<=50K
19,HS-grad,9,0,40,<=50K
21,Some-college,10,0,45,<=50K
48,HS-grad,9,0,40,<=50K
34,Bachelors,13,0,40,<=50K
31,HS-grad,9,0,40,<=50K
36,HS-grad,9,0,40,<=50K
27,HS-grad,9,0,40,<=50K
27,Some-college,10,0,40,<=50K
35,Bachelors,13,0,65,<=50K
31,Bachelors,13,0,60,<=50K
27,HS-grad,9,0,40,<=50K
28,Assoc-acdm,12,0,40,<=50K
42,HS-grad,9,0,46,<=50K
44,Some-college,10,0,45,<=50K
41,Bachelors,13,0,56,<=50K
28,Bachelors,13,0,35,<=50K
41,HS-grad,9,0,40,<=50K
35,10th,6,0,40,<=50K
58,Masters,14,0,45,<=50K
40,HS-grad,9,0,48,<=50K
31,Assoc-voc,11,0,60,<=50K
30,HS-grad,9,0,40,<=50K
32,Some-college,10,0,40,<=50K
25,Some-college,10,0,40,<=50K
34,HS-grad,9,0,40,<=50K
56,Some-college,10,0,40,<=50K
45,HS-grad,9,0,40,<=50K
50,HS-grad,9,0,40,<=50K
27,10th,6,0,40,<=50K
51,Some-college,10,0,40,>50K
40,Assoc-acdm,12,0,60,>50K
41,Masters,14,0,65,>50K
49,Masters,14,0,45,>50K
37,Assoc-voc,11,0,40,>50K
36,Bachelors,13,0,45,>50K
35,Prof-school,15,0,80,>50K
29,HS-grad,9,0,25,>50K
50,Bachelors,13,0,40,>50K
46,Bachelors,13,0,40,>50K
44,HS-grad,9,0,45,>50K
42,Masters,14,0,40,>50K
38,Prof-school,15,0,50,>50K
45,Bachelors,13,0,55,>50K
43,Masters,14,0,60,>50K
47,Prof-school,15,0,60,>50K
58,Prof-school,15,0,50,>50K
48,Prof-school,15,0,40,>50K
42,Bachelors,13,0,48,>50K
55,Masters,14,0,50,>50K
51,10th,6,0,40,>50K
32,Masters,14,0,40,>50K
45,Bachelors,13,0,50,>50K
56,Masters,14,0,44,>50K
38,Masters,14,0,60,>50K
45,Assoc-voc,11,0,50,>50K
49,Masters,14,0,40,>50K
36,HS-grad,9,0,40,>50K
49,Masters,14,0,40,>50K
30,Doctorate,16,0,40,>50K
42,Prof-school,15,0,50,>50K
55,Masters,14,0,40,>50K
34,Bachelors,13,0,45,>50K
54,Doctorate,16,0,50,>50K
42,Bachelors,13,0,70,>50K
25,Bachelors,13,0,40,>50K
55,HS-grad,9,0,45,>50K
58,Masters,14,0,50,>50K
62,HS-grad,9,0,60,>50K
43,Prof-school,15,0,40,>50K
57,Masters,14,0,40,>50K
42,Doctorate,16,0,60,>50K
63,Bachelors,13,0,32,>50K
47,Prof-school,15,0,50,>50K
37,Bachelors,13,0,50,>50K
40,Bachelors,13,0,60,>50K
43,Bachelors,13,0,50,>50K
43,Prof-school,15,0,70,>50K
41,Prof-school,15,0,60,>50K
32,Prof-school,15,0,60,>50K
47,Bachelors,13,0,40,>50K
39,Some-college,10,0,60,>50K
53,Some-college,10,0,40,>50K
34,Bachelors,13,0,45,>50K
36,Bachelors,13,0,40,>50K
47,Masters,14,0,41,>50K
52,Assoc-voc,11,0,45,>50K
40,Prof-school,15,0,60,>50K
42,Bachelors,13,0,40,>50K
51,Masters,14,0,40,>50K
55,Masters,14,0,20,>50K
38,HS-grad,9,0,99,>50K
52,Some-college,10,0,50,>50K
60,HS-grad,9,0,40,>50K
55,Assoc-voc,11,0,50,>50K
47,Masters,14,0,50,>50K
46,Masters,14,0,40,>50K
35,Masters,14,0,45,>50K
59,Bachelors,13,0,50,>50K
57,Masters,14,0,45,>50K
46,Some-college,10,0,50,>50K
46,Masters,14,0,40,>50K
52,HS-grad,9,0,40,>50K
45,Doctorate,16,0,30,>50K
37,Bachelors,13,0,40,>50K
46,Masters,14,0,45,>50K
44,Bachelors,13,0,50,>50K
45,Assoc-voc,11,0,50,>50K
43,HS-grad,9,0,52,>50K
54,Masters,14,0,40,>50K
50,Masters,14,0,40,>50K
51,Bachelors,13,0,60,>50K
45,Bachelors,13,0,40,>50K
36,Masters,14,0,60,>50K
27,Bachelors,13,0,50,>50K
36,Bachelors,13,0,35,>50K
53,Masters,14,0,55,>50K
51,Masters,14,0,35,>50K
28,Bachelors,13,0,24,>50K
47,Some-college,10,0,40,>50K
45,Bachelors,13,0,60,>50K
45,Masters,14,0,35,>50K
39,Prof-school,15,0,50,>50K
39,Bachelors,13,0,40,>50K
55,Masters,14,0,40,>50K
62,Some-college,10,0,98,>50K
49,Bachelors,13,0,50,>50K
53,Masters,14,0,40,>50K
31,Masters,14,0,48,>50K
42,HS-grad,9,0,60,>50K
39,Bachelors,13,0,45,>50K
60,Bachelors,13,0,45,>50K
26,Prof-school,15,0,40,>50K
37,Masters,14,0,40,>50K
45,Bachelors,13,0,60,>50K
37,Assoc-acdm,12,0,45,>50K
32,Bachelors,13,0,45,>50K
39,HS-grad,9,0,40,>50K
58,10th,6,0,35,>50K
45,Masters,14,0,43,>50K
41,Bachelors,13,0,45,>50K
36,HS-grad,9,0,65,>50K
51,Masters,14,0,60,>50K
39,Some-college,10,0,62,>50K
56,Prof-school,15,0,50,>50K
53,HS-grad,9,0,40,>50K
40,Assoc-voc,11,0,15,>50K
57,Masters,14,0,40,>50K
50,HS-grad,9,0,35,>50K
34,Prof-school,15,0,55,>50K
35,Bachelors,13,0,30,>50K
30,HS-grad,9,0,15,>50K
53,Masters,14,0,55,>50K
31,Doctorate,16,0,70,>50K
37,Bachelors,13,0,60,>50K
34,Bachelors,13,0,50,>50K
36,Masters,14,0,50,>50K
40,Bachelors,13,0,50,>50K
51,Some-college,10,0,60,>50K
33,HS-grad,9,0,45,>50K
40,Doctorate,16,0,20,>50K
50,7th-8th,4,0,63,>50K
46,Masters,14,0,60,>50K
54,Doctorate,16,0,50,>50K
39,Masters,14,0,24,>50K
54,Some-college,10,0,40,>50K
31,Doctorate,16,0,99,>50K
51,Masters,14,0,50,>50K
55,Doctorate,16,0,55,>50K
36,Masters,14,0,40,>50K
41,Bachelors,13,0,60,>50K
56,Some-college,10,0,50,>50K
38,Bachelors,13,0,40,>50K
47,HS-grad,9,0,45,>50K
39,Masters,14,0,45,>50K
59,Bachelors,13,0,50,>50K
54,Doctorate,16,0,43,>50K
54,Bachelors,13,0,35,>50K
31,Bachelors,13,0,55,>50K
59,Some-college,10,0,48,>50K
46,Masters,14,0,50,>50K
57,Doctorate,16,0,40,>50K
36,Masters,14,0,44,>50K
44,Bachelors,13,0,40,>50K
33,Prof-school,15,0,50,>50K
54,Some-college,10,0,18,>50K
55,Masters,14,0,60,>50K
36,Masters,14,0,50,>50K
49,Prof-school,15,0,60,>50K
41,Prof-school,15,0,50,>50K
40,Doctorate,16,0,45,>50K
43,Bachelors,13,0,50,>50K
39,Masters,14,0,20,>50K
26,Bachelors,13,0,40,>50K
48,Prof-school,15,0,45,>50K
43,Bachelors,13,0,50,>50K
42,Bachelors,13,0,60,>50K
36,Bachelors,13,0,45,>50K
39,Masters,14,0,40,<=50K
21,Some-college,10,0,40,<=50K
23,Some-college,10,0,40,<=50K
47,HS-grad,9,0,40,<=50K
30,HS-grad,9,0,40,<=50K
35,Some-college,10,0,40,<=50K
26,Some-college,10,0,40,<=50K
26,Bachelors,13,0,55,<=50K
41,Masters,14,0,40,<=50K
30,Some-college,10,0,40,<=50K
28,HS-grad,9,0,40,<=50K
56,HS-grad,9,0,40,<=50K
35,HS-grad,9,0,40,<=50K
